movie_id,title,genre,budget,production_house,release_year,duration_mins,language,imdb_rating,popularity_score
1,Represent Them,Sci-Fi,190181736,Warner Bros,2008,137,English,6.1,90
2,Speak Middle,Romance,87217234,Warner Bros,2017,178,Spanish,7.7,95
3,Company Hold,Horror,188120526,Legendary,2015,91,Hindi,6.3,69
4,Church Write,Thriller,170937975,Marvel Studios,2003,172,English,7.7,41
5,Rich Dinner,Documentary,100961147,Sony Pictures,2006,113,French,6.9,44
6,Purpose Approach,Documentary,195059085,Legendary,2005,121,English,5.1,75
7,Debate Name,Romance,272720717,Lionsgate Films,2009,176,Spanish,7.2,51
8,Become Reduce,Comedy,107633093,Walt Disney,2002,171,Spanish,9.1,85
9,Region Strategy,Horror,142395716,Legendary,2022,123,Spanish,6.3,18
10,Similar White,Horror,56633796,Marvel Studios,2019,152,English,6.1,29
11,Treat If,Documentary,22889753,Warner Bros,2017,99,French,9.5,4
12,Now Mention,Documentary,121510662,Warner Bros,2007,108,Korean,7.7,28
13,Official Way,Drama,7667053,Marvel Studios,2007,82,Spanish,6.9,57
14,Song Necessary,Horror,299673287,Lionsgate Films,2018,104,Korean,5.4,67
15,Mr Cultural,Horror,208824766,Marvel Studios,2022,126,Hindi,6.7,47
16,Voice Training,Thriller,172881759,Lionsgate Films,2011,89,French,5.2,90
17,Culture Employee,Thriller,289984417,MGM Studios,2004,92,Spanish,8.0,69
18,Cost Beyond,Sci-Fi,57268162,MGM Studios,2007,172,Hindi,8.1,83
19,Term Six,Thriller,250798753,Marvel Studios,2018,86,Korean,7.6,64
20,Most Trade,Horror,35712869,Legendary,2000,151,Korean,7.3,8
21,Best His,Sci-Fi,256886872,Legendary,2002,167,Hindi,4.8,93
22,Need Still,Romance,136297950,Universal Studios,2022,156,Korean,6.7,98
23,Nor Bar,Drama,213732961,Warner Bros,2021,137,Hindi,7.2,87
24,Movement Answer,Romance,178453686,Warner Bros,2018,145,Korean,5.2,70
25,Fire Among,Sci-Fi,4637483,MGM Studios,2001,171,Hindi,7.4,100
26,Law We,Comedy,35160416,Lionsgate Films,2013,173,Tamil,8.2,32
27,For Authority,Drama,98301462,Universal Studios,2020,143,French,5.1,12
28,Indeed Pressure,Comedy,217657094,MGM Studios,2022,167,Korean,8.5,49
29,Around Fact,Documentary,75361721,DC,2005,92,Hindi,6.3,91
30,Leave Democrat,Horror,136299057,Paramount Pictures,2002,103,Hindi,6.5,30
31,Director Newspaper,Sci-Fi,44791703,DC,2014,176,English,7.1,3
32,Education End,Action,32753874,DC,2003,101,English,9.3,68
33,From View,Action,3502371,DC,2012,119,English,8.5,73
34,Specific Form,Sci-Fi,38253059,Legendary,2006,161,Spanish,7.0,69
35,Thing Investment,Thriller,186353590,Walt Disney,2021,99,Spanish,6.4,23
36,Claim Lose,Documentary,96290299,Lionsgate Films,2004,136,English,7.6,69
37,Mouth Thus,Comedy,168324058,Marvel Studios,2003,124,French,5.4,67
38,Look Push,Drama,54537608,Paramount Pictures,2006,157,Tamil,9.5,44
39,Office Nice,Documentary,295194755,Sony Pictures,2025,137,English,7.8,9
40,Analysis Then,Sci-Fi,133189523,DC,2004,110,Korean,5.4,52
41,Collection Help,Action,193372341,Universal Studios,2015,164,French,8.3,76
42,Down Mr,Comedy,280089017,Walt Disney,2021,163,Hindi,9.1,73
43,Serve Former,Horror,294336129,Warner Bros,2009,121,Tamil,6.7,26
44,Ago Candidate,Romance,229878378,Sony Pictures,2013,128,English,7.0,63
